bundle_id,product_count,product_ids,product_names,categories,source,seed_size,fp_growth_support,avg_pair_count,avg_pair_support,avg_pair_confidence,avg_pair_lift,bundle_score,avg_profit_per_unit,estimated_bundle_retail_price,pair_min_count_used
13,6,"1900, 1926, 2517, 2536, 2603, 3155",Sunlight Care Liquid (naturals)1L | Bubble Detergent Powder 500g | Sunlight Care Liquid 1L | CBL Snak Cracker Biscuits 30g | Rin Detergent Powder 500g | Sunlight 2in1 500g,Cleaning & Household | Snacks & Confectionery,fp_growth_itemset_expanded,3,0.026965654271927333,385.0,0.018213643674898285,0.551795510144068,16.265742196365828,8.662682624724104,18.91166666666666,1065.0,8
14,6,"1043, 1060, 1188, 2512, 2622, 2683",Baby Cheramy Oil 100ml | P.Baby Cologne (magic) 50ml | Baby Diaper (Softlove) 4pcs /L | Pears Baby Soap (Aloevera) 95g | Baby Cheramy Baby Cologne 50ml | Lifebuoy Shampoo 80ml,Baby & Kids | Personal Care,fp_growth_itemset_expanded,3,0.01021856372409878,272.2142857142857,0.012877958449914169,0.5629804420213701,16.328396379490915,8.590651491350151,21.243333333333332,1184.0,8
15,6,"1187, 1562, 2513, 2514, 2814, 3206",Baby Diaper (Softlove) 4pcs /M | Sun Silk Shampoo (King-coconut)80ML | Pears Baby Soap (Venivel) 95g | Pears Baby Oil (Olive Oil) 100ml | Baby Cheramy Shampoo 100ml | Pears Baby Cream 100ml,Baby & Kids | Personal Care,fp_growth_itemset_expanded,3,0.02526256031791087,375.6,0.017768946920238435,0.5791979288796656,15.837135931819656,8.447706282978496,22.22333333333334,1110.0,8
16,6,"1422, 1569, 1807, 1808, 2845, 3116",Highland Milk Powder 400g | Zesta Tea (BOPF) 100g | Maliban Smart Cream Cracker 190g | Maliban Smart Cream Cracker 230g | Asiri Sweet Peanuts 100g | Candy Sugar 80g,Beverages | Dairy & Chilled | Personal Care | Snacks & Confectionery | Staples & Dry Groceries,fp_growth_itemset_expanded,3,0.013388210805184975,209.06666666666666,0.009890560444065978,0.4391706567971674,15.618322234181386,8.138723523011162,39.975,1450.0,8
17,6,"1670, 1878, 1904, 2684, 2782, 3164",Delmege Colouring (egg yellow)28ml | Dettol Hand Wash (sensitive) 200ml | Rin Lemon-Rose 200g | Rin Detergent Powder 1kg | Cinthol Lime Soap 100g | Sunlight 2in1 (sakura Fresh) 50g,"Cleaning & Household | Meat, Fish & Frozen | Personal Care",fp_growth_itemset_expanded,3,0.010975494370328319,160.73333333333332,0.007603999116914247,0.4007429045333077,15.422589893622895,7.983597800509726,13.584999999999999,760.0,8
18,6,"1854, 2036, 2069, 2877, 2961, 3180",CBL Nice Biscuits  100g | Prima Instant Noodles 345g | CocaCola 1.5L | CBL Wafer Stix 55g strawberry | CocaCola Zero 1050ml | Edinborouah Dark Soya Sauce 600ml,Cooking Essentials | General Grocery | Snacks & Confectionery | Staples & Dry Groceries,fp_growth_itemset_expanded,3,0.010455104551045511,209.86666666666667,0.009928406976377455,0.46624357458904236,15.266945591075425,7.971914007441972,21.733333333333334,1850.0,8
19,6,"1478, 1584, 1645, 1655, 2629, 2856",White Sugar 1kg (Pkt) | Lipton Ceylonta Tea 200g | Motha Baking Powder 100g | Motha Icing Sugar 250g | Prima Self Raising Flour 1kg | Anchor Butter 227g,Beverages | Dairy & Chilled | General Grocery | Staples & Dry Groceries,fp_growth_itemset_expanded,3,0.015659002743873593,228.2,0.010795723341848805,0.5037237709117719,15.172094102343305,7.95307864928216,27.758333333333336,1990.0,8
20,6,"1119, 1721, 2002, 2172, 2176, 3119",Silicone oil 25ml | LankaSoy (polos curry)90g | Ocean Star Canned Fish 425g | Wijaya Curry Powder 250g | Wijaya Roasted Curry Powder 50g | Rice Flakes (Samuel's Product) 200g,"Cooking Essentials | Meat, Fish & Frozen | Staples & Dry Groceries",fp_growth_itemset_expanded,3,0.011164727031885703,208.73333333333332,0.009874791055602865,0.435429168323805,14.884484580422713,7.770366861820556,23.666666666666668,1285.0,8
21,6,"1516, 1822, 1996, 2010, 2019, 2928",E/H Ice Cream (Chocolate) 80ml | CBL Sun Cracker 95g | KVC Tomato Sauce400g | Marina Coconut Oil 500ml | Harischandra Noodles 400g | Revello Dark Chocolate 100g,Cooking Essentials | General Grocery | Personal Care | Snacks & Confectionery | Staples & Dry Groceries,fp_growth_itemset_expanded,3,0.010313180054877472,150.86666666666667,0.007137225218406029,0.3942874324161774,14.954571733944546,7.738316601065246,20.041666666666668,1510.0,8
22,6,"1479, 1575, 1853, 1870, 2528, 3244",White Sugar 1kg | Dilmah Strong Tea 100g | CBL Ginger Biscuits 400g | Little Lion Choco Cookies 180g | Ambewela Fresh Milk (Chocolate) 1L | Nestle Milkmaid 510g,Beverages | Cooking Essentials | Dairy & Chilled | General Grocery | Staples & Dry Groceries,fp_growth_itemset_expanded,3,0.012489355662787397,248.26666666666668,0.011745040527328351,0.48911470710878036,14.45418383901177,7.608727142185088,36.61166666666667,1980.0,8
23,6,"1166, 2134, 3018, 3055, 3060, 3195",Dove Shampoo (Intense) 180ml | Asoka Red Rice Flour 900g | LifeBuoy Shampoo 175ml | Signal Toothpaste 120g | Signal Triple Clean Adult Toothbrush | Rexona Jasmine & olive oil Soap 80g,Personal Care | Staples & Dry Groceries,fp_growth_itemset_expanded,3,0.0286687482259438,410.3333333333333,0.019412117198095057,0.5501915787585889,13.878969620209116,7.492784627694036,26.546666666666663,1465.0,8
24,6,"1151, 2636, 2832, 3057, 3063, 3194",Sunsilk Shampoo (Black)180ml | Maliban Wafers Lemon Cream 90g | Closeup Toothpaste 120g | Signal Toothpaste 70g | Ayush Toothpaste 110g | Rexona Kohomba & Turmeric Soap 80g,Personal Care,fp_growth_itemset_expanded,3,0.02748604409121014,409.4,0.019367962910398332,0.5634049436655084,13.715385972715016,7.414073727665126,25.430000000000003,1110.0,8
25,6,"2016, 2330, 2713, 2736, 3144, 3189","Fortune Coconut Oil 675ml | Kome Rice Cracker 90G (B,B,Q) | Sera Turmeric Powder 25g | Maldive Fish Bottle 100g | GoodKnight Mosquito Coil 10Hours | Fortune RBD Coconut Oil 200ml",Cooking Essentials | General Grocery | Staples & Dry Groceries,fp_growth_itemset_expanded,3,0.012347431166619358,227.93333333333334,0.01078310783107831,0.4563485771625484,14.033722180744386,7.369427820142525,35.333333333333336,1645.0,8
26,6,"2059, 2194, 2510, 2862, 3144, 3189",Renuka Coconut Milk Powder 300g | Freelan Chilli  Powder 100g | Kakulu-Samba Rice 1kg | Diamond Tuna | GoodKnight Mosquito Coil 10Hours | Fortune RBD Coconut Oil 200ml,Cooking Essentials | Dairy & Chilled | General Grocery | Staples & Dry Groceries,fp_growth_itemset_expanded,3,0.013151669978238243,208.93333333333334,0.009884252688680734,0.4444824038806235,13.98101880238903,7.321539176132317,36.166666666666664,2140.0,8
27,6,"1188, 2512, 2579, 2622, 3034, 3080",Baby Diaper (Softlove) 4pcs /L | Pears Baby Soap (Aloevera) 95g | Bill Book (small) | Baby Cheramy Baby Cologne 50ml | Pears Baby Cream 50ml | BabyCheramy Moisturizes & Cares Baby Shampoo 100ml,Baby & Kids | Stationery,fp_growth_itemset_expanded,3,0.025735641971804335,380.26666666666665,0.017989718358722047,0.5483356052354311,13.018496628600584,7.033543363045363,16.208333333333332,985.0,8
28,6,"1275, 1915, 2684, 2995, 3043, 3187",Sunlight ( Lime & Orange) 115g | Sunlight 2in1 (Lemon) 1kg | Rin Detergent Powder 1kg | P.Mirinda beverage 1L | Sunlight 2Bar | Diva Power Liquid Detergent 1L,Cleaning & Household | General Grocery,fp_growth_itemset_expanded,3,0.0373734506575835,487.6,0.02306746144384521,0.568657986842553,12.561498994468828,6.912696122164086,24.91,1610.0,8
29,6,"1496, 1635, 2020, 2045, 2068, 2700",Tiara Layer Cake (Chocolate)310g | Ritzbury  Chunky-Choc (Classic)200g | Harischandra Noodles 400g (2minutes) | Edinborough Tomato Sauce 405g | CocaCola 1050ml | Kist Mixed Fruit Juice 1L,Beverages | Cooking Essentials | General Grocery | Snacks & Confectionery | Staples & Dry Groceries,fp_growth_itemset_expanded,3,0.03075030750307503,474.46666666666664,0.02244614753839846,0.5788434620059199,12.321122610325022,6.783137294532257,33.375,1660.0,8
30,6,"1410, 1626, 1657, 1852, 2104, 2634",Prima Tea Bun 75g | Ritzbury Milk Chocolate 45g | Motha Icing Sugar 1kg | CBL Ginger Biscuits 85g | Kandos Milk Choco 10g | Kotmale Milk With Oats 1L,Beverages | Cooking Essentials | Dairy & Chilled | Staples & Dry Groceries,fp_growth_itemset_expanded,3,0.011543192355000472,209.33333333333334,0.009903175954836472,0.4090595343101358,12.828704876858316,6.7351338178189275,22.861666666666665,1050.0,8
31,6,"1121, 1436, 1789, 2046, 2059, 2190",Axe oil 5ml | Kotmale Vanilla milk 170ml | Asiri Ddevilled Dhal 100g | Edinborough Tomato Sauce 375g | Renuka Coconut Milk Powder 300g | Freelan Meat Curry Powder 250g,Cooking Essentials | Dairy & Chilled | Staples & Dry Groceries,fp_growth_itemset_expanded,3,0.010360488220266818,154.6,0.007313842369192923,0.3689257704384162,12.285331935470364,6.399620546250564,30.0,1455.0,8
32,6,"1410, 1626, 1852, 1998, 2634, 3006",Prima Tea Bun 75g | Ritzbury Milk Chocolate 45g | CBL Ginger Biscuits 85g | Crunchy Peanut Butter325g | Kotmale Milk With Oats 1L | Spinner Sugar Free 250ml,Beverages | Cooking Essentials | Dairy & Chilled | General Grocery | Staples & Dry Groceries,fp_growth_itemset_expanded,3,0.010265871889488125,200.26666666666668,0.009474248588639735,0.35936089956928485,11.270211010243713,5.932398746765435,24.194999999999997,1390.0,8
33,6,"1116, 2002, 2172, 2280, 2344, 2861",7Oil | Ocean Star Canned Fish 425g | Wijaya Curry Powder 250g | Araliya Premium Nadu Rice 1kg | Coconut Oil 750ml (loose) | Coconut Milk 500ml,"Cooking Essentials | Dairy & Chilled | General Grocery | Meat, Fish & Frozen | Staples & Dry Groceries",fp_growth_itemset_expanded,3,0.04063771406944839,535.4,0.02532879174945596,0.5394363201223705,10.288804923534933,5.8128091927932966,29.166666666666668,2110.0,8
34,6,"1270, 2393, 2669, 2713, 3144, 3189",Lifebuoy Turmeric 100g | Kist Tomato Sauce 15g | San Remo Pasta (Penne) 500g | Sera Turmeric Powder 25g | GoodKnight Mosquito Coil 10Hours | Fortune RBD Coconut Oil 200ml,Cooking Essentials | General Grocery | Staples & Dry Groceries,fp_growth_itemset_expanded,3,0.01182704134733655,187.4,0.008865550193963479,0.37088791633554835,10.70495925542521,5.641057006492539,22.816666666666666,1253.0,8
35,6,"1799, 2008, 2012, 2045, 2047, 3190",Asiri Sugar Candy 100g60 | Marina Coconut Oil 350ml | Marina Vegetable Oil 500ml | Edinborough Tomato Sauce 405g | Edinborough Chilli Sauce 405g | Fortune Cooking Oil RBD Palm Olein 2L,Cooking Essentials | Staples & Dry Groceries,fp_growth_itemset_expanded,3,0.010360488220266818,156.46666666666667,0.007402150944586368,0.3652245404724834,10.726736992113842,5.620978877090393,37.335,3712.0,8
36,6,"1477, 1516, 1564, 1807, 1998, 3116",Milkmaid 510g | E/H Ice Cream (Chocolate) 80ml | Watawala Tea 100g | Maliban Smart Cream Cracker 190g | Crunchy Peanut Butter325g | Candy Sugar 80g,Beverages | General Grocery | Personal Care | Staples & Dry Groceries,fp_growth_itemset_expanded,3,0.011259343362664397,165.33333333333334,0.00782161667770524,0.3697917302077118,10.656312506126458,5.595526105679648,27.345,1485.0,8
37,6,"1479, 1564, 1644, 1656, 2130, 2716",White Sugar 1kg | Watawala Tea 100g | Motha Baking Powder 50g | Motha Icing Sugar 500g | Prima Pittu Flour 1kg | Pelwatte Butter 200g,Beverages | Dairy & Chilled | General Grocery | Staples & Dry Groceries,fp_growth_itemset_expanded,2,0.010502412716434857,155.86666666666667,0.0073737660453527636,0.34993592063433426,10.463077652625225,5.483994923409968,19.30333333333333,1460.0,8
38,6,"1069, 1188, 1288, 1527, 1562, 2514",P.Baby Cream (Bedtime) 100ml | Baby Diaper (Softlove) 4pcs /L | Senola Soap | E/H Ice Cream (Chocolate) 500ml | Sun Silk Shampoo (King-coconut)80ML | Pears Baby Oil (Olive Oil) 100ml,Baby & Kids | Personal Care,fp_growth_itemset_expanded,3,0.01021856372409878,152.2,0.007200302772258491,0.3561842853817513,10.061210534312893,5.2814666082161414,24.74666666666667,900.0,8
39,6,"2003, 2008, 2017, 2056, 2170, 2279",Ocean Star Canned Fish 155g | Marina Coconut Oil 350ml | Turkey Cooking Oil 1L | Maggi Coconut Milk Powder 125g | Wijaya Curry Powder 50g | Araliya Premium Samba Rice 1kg,"Cooking Essentials | Dairy & Chilled | Meat, Fish & Frozen | Staples & Dry Groceries",fp_growth_itemset_expanded,3,0.031034156495411108,447.06666666666666,0.021149903806730378,0.533463233165384,9.324787561631828,5.245430826900136,20.833333333333332,1822.0,8
40,6,"1418, 1479, 1567, 1818, 1853, 2013",Highland Fresh Milk 900ml | White Sugar 1kg | Watawala Ayurvedic Tea 160g | CBL Bran Cracker 160g | CBL Ginger Biscuits 400g | Marina Coconut Milk 400ml,Beverages | Cooking Essentials | Dairy & Chilled | Snacks & Confectionery | Staples & Dry Groceries,fp_growth_itemset_expanded,3,0.013104361812848898,263.07142857142856,0.012445426652068717,0.4688395522859537,9.652224835123155,5.215672816288738,26.633333333333336,1535.0,8
41,6,"1416, 1479, 1564, 1836, 1853, 2991",Highland  Vanilla Milk 180ml | White Sugar 1kg | Watawala Tea 100g | Maliban Ginger Biscuit 370g | CBL Ginger Biscuits 400g | Lipton Green Tea 20Tea bag,Beverages | Cooking Essentials | Dairy & Chilled | Staples & Dry Groceries,fp_growth_itemset_expanded,3,0.03250070962248084,488.26666666666665,0.02309900022077144,0.5294588022572825,8.708088735408268,4.9748620127967484,20.936666666666667,1405.0,8
42,6,"1854, 2019, 2046, 2069, 2478, 2877",CBL Nice Biscuits  100g | Harischandra Noodles 400g | Edinborough Tomato Sauce 375g | CocaCola 1.5L | Ritzbury Chocolate (Peanut) 45g | CBL Wafer Stix 55g strawberry,Cooking Essentials | General Grocery | Snacks & Confectionery | Staples & Dry Groceries,fp_growth_itemset_expanded,3,0.038792695619263885,487.2,0.02304853817768947,0.529046525731192,8.410626088580063,4.824997765563179,15.066666666666668,1010.0,8
43,6,"1419, 1436, 1449, 1478, 1567, 1854",Highland Butter (Salted) 200g | Kotmale Vanilla milk 170ml | Milo Drink 180ml | White Sugar 1kg (Pkt) | Watawala Ayurvedic Tea 160g | CBL Nice Biscuits  100g,Beverages | Dairy & Chilled | Snacks & Confectionery | Staples & Dry Groceries,fp_growth_itemset_expanded,3,0.012205506670451319,318.2,0.01505345822688996,0.474599204959369,8.052824451079697,4.469861151565458,38.233333333333334,2010.0,8
44,6,"1449, 1478, 1854, 2056, 2378, 2678",Milo Drink 180ml | White Sugar 1kg (Pkt) | CBL Nice Biscuits  100g | Maggi Coconut Milk Powder 125g | Zesta Tea (BOPF) 390g | Freelan Kurakkan Flour 200g,Beverages | Dairy & Chilled | Snacks & Confectionery | Staples & Dry Groceries,fp_growth_itemset_expanded,3,0.03283186678020626,507.73333333333335,0.02401993250701738,0.4952074173283698,6.091281620114938,3.6746016853963273,22.581666666666663,1405.0,8
