bundle_id,product_ids,product_count,product_names,categories,movement_labels,fast_product_count,medium_product_count,slow_product_count,fp_growth_support,pair_support,avg_pair_confidence,avg_pair_lift,graph_density,connected_edges,test_exact_support,test_attachment_rate_2_plus,test_attachment_rate,test_average_overlap,test_lift,estimated_bundle_retail_price,estimated_bundle_profit,base_bundle_score,source,normal_bundle_retail_price,estimated_bundle_cost,normal_bundle_profit,suggested_discount_pct,promo_bundle_price,promo_bundle_profit,promo_profit_margin
20,"1122,1275,1915,2684,3043,3187",6,Vaseline Sun+ 100ml|Sunlight ( Lime & Orange) 115g|Sunlight 2in1 (Lemon) 1kg|Rin Detergent Powder 1kg|Sunlight 2Bar|Diva Power Liquid Detergent 1L,Cleaning & Household|General Grocery,Slow|Fast|Fast|Fast|Fast|Fast,5,0,1,0.028728399517052923,0.02265114502282003,0.7909532987703746,21.218571713093777,1.0,15,0.0,0.045990566037735846,0.045283018867924525,0.25,0.0,2208.77,163.61,0.8692051017337952,adaptive_fp_growth_fast_slow,2300.0,2045.16,254.84,0.0397,2208.77,163.61,0.0741
21,"1275,1381,1915,2684,3043,3187",6,Sunlight ( Lime & Orange) 115g|Siddhalepa Balm 25g|Sunlight 2in1 (Lemon) 1kg|Rin Detergent Powder 1kg|Sunlight 2Bar|Diva Power Liquid Detergent 1L,Cleaning & Household|Health & Medicine,Fast|Slow|Fast|Fast|Fast|Fast,5,0,1,0.028728399517052923,0.022643102720308825,0.7909532987703746,21.218571713093777,1.0,15,0.0,0.045990566037735846,0.045283018867924525,0.25,0.0,1493.68,110.64,0.8692051017337952,adaptive_fp_growth_fast_slow,1535.0,1383.04,151.96,0.0269,1493.68,110.64,0.0741
22,"1275,1915,2118,2684,3043,3187",6,Sunlight ( Lime & Orange) 115g|Sunlight 2in1 (Lemon) 1kg|Signal Deep Clean (T.B)|Rin Detergent Powder 1kg|Sunlight 2Bar|Diva Power Liquid Detergent 1L,Cleaning & Household|General Grocery,Fast|Fast|Slow|Fast|Fast|Fast,5,0,1,0.028728399517052923,0.02265516617407564,0.7909532987703746,21.218571713093777,1.0,15,0.0,0.045990566037735846,0.045283018867924525,0.25,0.0,1341.99,99.41,0.8692051017337952,adaptive_fp_growth_fast_slow,1383.0,1242.58,140.42,0.0297,1341.99,99.41,0.0741
23,"1275,1915,2684,3043,3187,3259",6,Sunlight ( Lime & Orange) 115g|Sunlight 2in1 (Lemon) 1kg|Rin Detergent Powder 1kg|Sunlight 2Bar|Diva Power Liquid Detergent 1L|Panadol 240 Tablets,Cleaning & Household|Health & Medicine,Fast|Fast|Fast|Fast|Fast|Slow,5,0,1,0.028728399517052923,0.022639081569053216,0.7909532987703746,21.218571713093777,1.0,15,0.0,0.045990566037735846,0.045283018867924525,0.25,0.0,2084.98,154.44,0.8692051017337952,adaptive_fp_growth_fast_slow,2147.6,1930.54,217.06,0.0292,2084.98,154.44,0.0741
24,"1275,1614,1915,2684,3043,3187",6,Sunlight ( Lime & Orange) 115g|Bic 3|Sunlight 2in1 (Lemon) 1kg|Rin Detergent Powder 1kg|Sunlight 2Bar|Diva Power Liquid Detergent 1L,Cleaning & Household|General Grocery,Fast|Slow|Fast|Fast|Fast|Fast,5,0,1,0.028728399517052923,0.022635060417797614,0.7909532987703746,21.218571713093777,1.0,15,0.0002358490566037736,0.045990566037735846,0.045283018867924525,0.2497641509433962,1724132.6593815966,1370.02,101.48,0.8692031363249901,adaptive_fp_growth_fast_slow,1410.0,1268.54,141.46,0.0284,1370.02,101.48,0.0741
25,"1275,1915,1945,2684,3043,3187",6,Sunlight ( Lime & Orange) 115g|Sunlight 2in1 (Lemon) 1kg|Sunquick Orange 330ml|Rin Detergent Powder 1kg|Sunlight 2Bar|Diva Power Liquid Detergent 1L,Cleaning & Household|General Grocery,Fast|Fast|Slow|Fast|Fast|Fast,5,0,1,0.028728399517052923,0.022667229627842456,0.7909532987703746,21.218571713093777,1.0,15,0.0,0.045990566037735846,0.045283018867924525,0.24929245283018867,0.0,1652.98,122.44,0.8691992055073801,adaptive_fp_growth_fast_slow,1730.0,1530.54,199.46,0.0445,1652.98,122.44,0.0741
26,"1275,1915,2625,2684,3043,3187",6,Sunlight ( Lime & Orange) 115g|Sunlight 2in1 (Lemon) 1kg|Moldivefish (Dry) 1kg|Rin Detergent Powder 1kg|Sunlight 2Bar|Diva Power Liquid Detergent 1L,Cleaning & Household|General Grocery,Fast|Fast|Slow|Fast|Fast|Fast,5,0,1,0.028728399517052923,0.022671250779098057,0.7909532987703746,21.218571713093777,1.0,15,0.0,0.045990566037735846,0.045283018867924525,0.24929245283018867,0.0,3110.98,230.44,0.8691992055073801,adaptive_fp_growth_fast_slow,3210.0,2880.54,329.46,0.0308,3110.98,230.44,0.0741
27,"1496,1635,1921,2020,2045,2068",6,Tiara Layer Cake (Chocolate)310g|Ritzbury  Chunky-Choc (Classic)200g|Surf excel (Aloevera) 500g|Harischandra Noodles 400g (2minutes)|Edinborough Tomato Sauce 405g|CocaCola 1050ml,Cooking Essentials|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Fast|Fast|Slow|Fast|Fast|Fast,5,0,1,0.029360675686219608,0.021404588133582644,0.8090454118252196,21.72421532011666,1.0,15,0.0,0.05471698113207547,0.03018867924528302,0.2632075471698113,0.0,1324.08,98.08,0.8671351136605755,adaptive_fp_growth_fast_slow,1385.0,1226.0,159.0,0.044,1324.08,98.08,0.0741
28,"1496,1635,2020,2045,2068,2184",6,Tiara Layer Cake (Chocolate)310g|Ritzbury  Chunky-Choc (Classic)200g|Harischandra Noodles 400g (2minutes)|Edinborough Tomato Sauce 405g|CocaCola 1050ml|Wijaya Fenugreek 100g,Cooking Essentials|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Fast|Fast|Fast|Fast|Fast|Slow,5,0,1,0.029360675686219608,0.02140056698232704,0.8090454118252196,21.72421532011666,1.0,15,0.0,0.054245283018867926,0.030424528301886793,0.26297169811320753,0.0,1196.64,88.64,0.8666614501385629,adaptive_fp_growth_fast_slow,1260.0,1108.0,152.0,0.0503,1196.64,88.64,0.0741
29,"1125,1496,1635,2020,2045,2068",6,Vaseline Healthy 100ml|Tiara Layer Cake (Chocolate)310g|Ritzbury  Chunky-Choc (Classic)200g|Harischandra Noodles 400g (2minutes)|Edinborough Tomato Sauce 405g|CocaCola 1050ml,Cooking Essentials|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Slow|Fast|Fast|Fast|Fast|Fast,5,0,1,0.029360675686219608,0.021404588133582644,0.8090454118252196,21.72421532011666,1.0,15,0.0,0.0544811320754717,0.03018867924528302,0.2639150943396226,0.0,1383.48,102.48,0.8666103495096321,adaptive_fp_growth_fast_slow,1450.0,1281.0,169.0,0.0459,1383.48,102.48,0.0741
30,"1496,1635,2020,2045,2068,2416",6,Tiara Layer Cake (Chocolate)310g|Ritzbury  Chunky-Choc (Classic)200g|Harischandra Noodles 400g (2minutes)|Edinborough Tomato Sauce 405g|CocaCola 1050ml|Camellia Parfum (Purity) 22ml,Cooking Essentials|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Fast|Fast|Fast|Fast|Fast|Slow,5,0,1,0.029360675686219608,0.021428715041116268,0.8090454118252196,21.72421532011666,1.0,15,0.0,0.0544811320754717,0.03018867924528302,0.2634433962264151,0.0,1325.7,98.2,0.866606418692022,adaptive_fp_growth_fast_slow,1400.0,1227.5,172.5,0.0531,1325.7,98.2,0.0741
31,"1496,1635,2020,2045,2068,2118",6,Tiara Layer Cake (Chocolate)310g|Ritzbury  Chunky-Choc (Classic)200g|Harischandra Noodles 400g (2minutes)|Edinborough Tomato Sauce 405g|CocaCola 1050ml|Signal Deep Clean (T.B),Cooking Essentials|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Fast|Fast|Fast|Fast|Fast|Slow,5,0,1,0.029360675686219608,0.02140458813358264,0.8090454118252196,21.72421532011666,1.0,15,0.0,0.0544811320754717,0.03018867924528302,0.26297169811320753,0.0,1218.28,90.24,0.866602487874412,adaptive_fp_growth_fast_slow,1283.0,1128.04,154.96,0.0504,1218.28,90.24,0.0741
32,"1374,1496,1635,2020,2045,2068",6,Ninja Mosquito Control Liquid+Machine|Tiara Layer Cake (Chocolate)310g|Ritzbury  Chunky-Choc (Classic)200g|Harischandra Noodles 400g (2minutes)|Edinborough Tomato Sauce 405g|CocaCola 1050ml,Cooking Essentials|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Slow|Fast|Fast|Fast|Fast|Fast,5,0,1,0.029360675686219608,0.021416651587349456,0.8090454118252196,21.72421532011666,1.0,15,0.0,0.054245283018867926,0.03018867924528302,0.2634433962264151,0.0,1907.28,141.28,0.8660757583146635,adaptive_fp_growth_fast_slow,1960.0,1766.0,194.0,0.0269,1907.28,141.28,0.0741
33,"1404,1496,1635,2020,2045,2068",6,Kellogg's Chocos 110g|Tiara Layer Cake (Chocolate)310g|Ritzbury  Chunky-Choc (Classic)200g|Harischandra Noodles 400g (2minutes)|Edinborough Tomato Sauce 405g|CocaCola 1050ml,Cooking Essentials|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Slow|Fast|Fast|Fast|Fast|Fast,5,0,1,0.029360675686219608,0.021424693889860666,0.8090454118252196,21.72421532011666,1.0,15,0.0,0.054245283018867926,0.03018867924528302,0.2634433962264151,0.0,1399.68,103.68,0.8660757583146635,adaptive_fp_growth_fast_slow,1470.0,1296.0,174.0,0.0478,1399.68,103.68,0.0741
34,"1123,1496,1635,2020,2045,2068",6,Vaseline Cocoa 100ml|Tiara Layer Cake (Chocolate)310g|Ritzbury  Chunky-Choc (Classic)200g|Harischandra Noodles 400g (2minutes)|Edinborough Tomato Sauce 405g|CocaCola 1050ml,Cooking Essentials|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Slow|Fast|Fast|Fast|Fast|Fast,5,0,1,0.029360675686219608,0.02140056698232704,0.8090454118252196,21.72421532011666,1.0,15,0.0,0.054245283018867926,0.03018867924528302,0.2632075471698113,0.0,2026.08,150.08,0.8660737929058585,adaptive_fp_growth_fast_slow,2030.0,1876.0,154.0,0.0019,2026.08,150.08,0.0741
35,"1496,1635,1940,2020,2045,2068",6,Tiara Layer Cake (Chocolate)310g|Ritzbury  Chunky-Choc (Classic)200g|britol super 45g|Harischandra Noodles 400g (2minutes)|Edinborough Tomato Sauce 405g|CocaCola 1050ml,Cooking Essentials|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Fast|Fast|Slow|Fast|Fast|Fast,5,0,1,0.029360675686219608,0.021404588133582644,0.8090454118252196,21.72421532011666,1.0,15,0.0002358490566037736,0.054245283018867926,0.03018867924528302,0.26297169811320753,891600.3883274712,1161.0,86.0,0.8660718274970535,adaptive_fp_growth_fast_slow,1220.0,1075.0,145.0,0.0484,1161.0,86.0,0.0741
36,"1496,1635,2020,2045,2068,2358",6,Tiara Layer Cake (Chocolate)310g|Ritzbury  Chunky-Choc (Classic)200g|Harischandra Noodles 400g (2minutes)|Edinborough Tomato Sauce 405g|CocaCola 1050ml|Iodex Head Fast 18g,Cooking Essentials|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Fast|Fast|Fast|Fast|Fast|Slow,5,0,1,0.029360675686219608,0.02140056698232704,0.8090454118252196,21.72421532011666,1.0,15,0.0,0.054245283018867926,0.03018867924528302,0.26297169811320753,0.0,1373.07,101.71,0.8660718274970535,adaptive_fp_growth_fast_slow,1440.0,1271.36,168.64,0.0465,1373.07,101.71,0.0741
37,"1496,1635,2020,2045,2068,2638",6,Tiara Layer Cake (Chocolate)310g|Ritzbury  Chunky-Choc (Classic)200g|Harischandra Noodles 400g (2minutes)|Edinborough Tomato Sauce 405g|CocaCola 1050ml|Champion (Cool Mint) 90g,Cooking Essentials|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Fast|Fast|Fast|Fast|Fast|Slow,5,0,1,0.029360675686219608,0.02142067273860506,0.8090454118252196,21.72421532011666,1.0,15,0.0,0.054245283018867926,0.03018867924528302,0.26297169811320753,0.0,1207.31,89.43,0.8660718274970535,adaptive_fp_growth_fast_slow,1265.0,1117.88,147.12,0.0456,1207.31,89.43,0.0741
38,"1496,1635,2020,2045,2068,2866",6,Tiara Layer Cake (Chocolate)310g|Ritzbury  Chunky-Choc (Classic)200g|Harischandra Noodles 400g (2minutes)|Edinborough Tomato Sauce 405g|CocaCola 1050ml|Marmite 100g,Cooking Essentials|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Fast|Fast|Fast|Fast|Fast|Slow,5,0,1,0.029360675686219608,0.02140056698232704,0.8090454118252196,21.72421532011666,1.0,15,0.0,0.054245283018867926,0.03018867924528302,0.26297169811320753,0.0,1820.88,134.88,0.8660718274970535,adaptive_fp_growth_fast_slow,1885.0,1686.0,199.0,0.034,1820.88,134.88,0.0741
39,"1473,1496,1635,2020,2045,2068",6,Nescafe Classic 50g|Tiara Layer Cake (Chocolate)310g|Ritzbury  Chunky-Choc (Classic)200g|Harischandra Noodles 400g (2minutes)|Edinborough Tomato Sauce 405g|CocaCola 1050ml,Cooking Essentials|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Slow|Fast|Fast|Fast|Fast|Fast,5,0,1,0.029360675686219608,0.021404588133582644,0.8090454118252196,21.72421532011666,1.0,15,0.0,0.054245283018867926,0.03018867924528302,0.2627358490566038,0.0,2015.28,149.28,0.8660698620882484,adaptive_fp_growth_fast_slow,2050.0,1866.0,184.0,0.0169,2015.28,149.28,0.0741
40,"1496,1635,1770,2020,2045,2068",6,Tiara Layer Cake (Chocolate)310g|Ritzbury  Chunky-Choc (Classic)200g|Keells Chicken Bockwurst 400g|Harischandra Noodles 400g (2minutes)|Edinborough Tomato Sauce 405g|CocaCola 1050ml,"Cooking Essentials|General Grocery|Meat, Fish & Frozen|Snacks & Confectionery|Staples & Dry Groceries",Fast|Fast|Slow|Fast|Fast|Fast,5,0,1,0.029360675686219608,0.021416651587349456,0.8090454118252196,21.72421532011666,1.0,15,0.0002358490566037736,0.054245283018867926,0.03018867924528302,0.2627358490566038,1337400.5824912067,1642.68,121.68,0.8660698620882484,adaptive_fp_growth_fast_slow,1709.0,1521.0,188.0,0.0388,1642.68,121.68,0.0741
41,"1496,1635,2020,2045,2068,3002",6,Tiara Layer Cake (Chocolate)310g|Ritzbury  Chunky-Choc (Classic)200g|Harischandra Noodles 400g (2minutes)|Edinborough Tomato Sauce 405g|CocaCola 1050ml|Sun Crush Lemon Lime 250ml,Cooking Essentials|General Grocery|Snacks & Confectionery|Staples & Dry Groceries,Fast|Fast|Fast|Fast|Fast|Slow,5,0,1,0.029360675686219608,0.02140458813358264,0.8090454118252196,21.72421532011666,1.0,15,0.0,0.054245283018867926,0.03018867924528302,0.2627358490566038,0.0,1302.48,96.48,0.8660698620882484,adaptive_fp_growth_fast_slow,1360.0,1206.0,154.0,0.0423,1302.48,96.48,0.0741
42,"1275,1915,2684,3043,3066,3187",6,Sunlight ( Lime & Orange) 115g|Sunlight 2in1 (Lemon) 1kg|Rin Detergent Powder 1kg|Sunlight 2Bar|MD WoodApple Jam 300g|Diva Power Liquid Detergent 1L,Cleaning & Household|General Grocery,Fast|Fast|Fast|Fast|Slow|Fast,5,0,1,0.028728399517052923,0.024247542071295012,0.7909532987703746,21.218571713093777,0.9333333333333333,14,0.0,0.045990566037735846,0.045283018867924525,0.2502358490566038,0.0,1663.78,123.24,0.8592070671426002,adaptive_fp_growth_fast_slow,1690.0,1540.54,149.46,0.0155,1663.78,123.24,0.0741
43,"1275,1915,2684,3043,3066",5,Sunlight ( Lime & Orange) 115g|Sunlight 2in1 (Lemon) 1kg|Rin Detergent Powder 1kg|Sunlight 2Bar|MD WoodApple Jam 300g,Cleaning & Household|General Grocery,Fast|Fast|Fast|Fast|Slow,4,0,1,0.028989878062958985,0.02227717795604882,0.7976147876275428,21.41022956236021,0.9,9,0.0,0.04575471698113207,0.045283018867924525,0.1964622641509434,0.0,907.78,67.24,0.854554953993188,adaptive_fp_growth_fast_slow,940.0,840.54,99.46,0.0343,907.78,67.24,0.0741
